lsm_a,lsm_b,class_a,class_b,same_class,spectral_cosine,band_overlap,peak_agreement,bootstrap_cooccurrence,activation_cooccurrence,provenance_overlap,substitutability,edge_weight,null_p,coassignment
acylglycerol.m01,fatty_acid.m01,acylglycerol,fatty_acid,False,0.9479932729674343,0.7839347305097684,0.8571428571428571,0.9159282743521205,0.9539334795501779,1.0,0.9297064928726858,0.8870633257315109,0.0,1.0
peptide_protein.m03,polysaccharide.m00,peptide_protein,polysaccharide,False,0.9701305987969403,0.7800736130354997,0.875,0.8003524357324577,0.9750149913337769,1.0,0.7875016855059533,0.8624215789085301,0.0,1.0
acylglycerol.m00,fatty_acid.m03,acylglycerol,fatty_acid,False,0.9195908371589702,0.9210831241844689,0.6153846153846154,0.8905013686134565,0.9837814304607475,1.0,0.6882680675628436,0.8465964468949537,0.0,1.0
acylglycerol.m02,fatty_acid.m00,acylglycerol,fatty_acid,False,0.880061944705357,0.8184419318108083,0.75,0.8954174841556561,0.9574788273080495,1.0,0.5001054795212907,0.8113938667356665,1.3605442176870749e-05,1.0
acylglycerol.m00,phospholipid_sphingolipid.m00,acylglycerol,phospholipid_sphingolipid,False,0.8987563994878394,0.6641540177538253,0.6666666666666666,0.8740549886513181,0.9718803650492456,1.0,0.668438365674701,0.7805130026402544,1.3605442176870749e-05,1.0
acylglycerol.m02,fatty_acid.m04,acylglycerol,fatty_acid,False,0.9085106738903272,0.698232509680802,0.5,0.8935027927979421,0.9913288482548446,1.0,0.7998319753355417,0.7764215155911889,1.3605442176870749e-05,1.0
fatty_acid.m03,sterol_steroid.m00,fatty_acid,sterol_steroid,False,0.8959239699323556,0.7211341341503088,0.42857142857142855,0.8864586251014975,0.9759612936083526,1.0,0.8458513459186963,0.7648621342840045,2.7210884353741498e-05,1.0
fatty_acid.m03,phospholipid_sphingolipid.m00,fatty_acid,phospholipid_sphingolipid,False,0.8914637662155382,0.6368028925071239,0.5714285714285714,0.8572081881574535,0.9825919810739546,1.0,0.7338800069471024,0.7591525628823128,2.7210884353741498e-05,1.0
acylglycerol.m00,sterol_steroid.m00,acylglycerol,sterol_steroid,False,0.8748001473834328,0.69646778180665,0.4,0.8721910192784573,0.9656932567748507,1.0,0.8686257575168133,0.7462338715364921,2.7210884353741498e-05,1.0
acylglycerol.m02,phospholipid_sphingolipid.m00,acylglycerol,phospholipid_sphingolipid,False,0.8318956265006636,0.6681885417438153,0.625,0.8306104712955888,0.9482720947616584,1.0,0.47981385385421355,0.7300131990618856,5.4421768707482996e-05,1.0
purine.m00,sulfur_thiol_cofactor.m00,purine,sulfur_thiol_cofactor,False,0.8298922876352363,0.607357308039196,0.5,0.6625963010249115,0.9406753903907605,1.0,0.7631946184941288,0.6971171562585085,8.163265306122449e-05,1.0
fatty_acid.m00,phospholipid_sphingolipid.m00,fatty_acid,phospholipid_sphingolipid,False,0.7358985378978059,0.7002493706500461,0.5,0.7457807692434614,0.913718918652505,1.0,0.43986719309158856,0.6773721962666805,0.00010884353741496599,1.0
acylglycerol.m02,sterol_steroid.m00,acylglycerol,sterol_steroid,False,0.7314188505308423,0.5420996394862428,0.5,0.7319379472675851,0.9172741237257367,1.0,0.7178483977249202,0.6648487206413628,0.00010884353741496599,1.0
phospholipid_sphingolipid.m00,sterol_steroid.m00,phospholipid_sphingolipid,sterol_steroid,False,0.8603394026229891,0.3752226189276551,0.5,0.8465326954635062,0.9594897196415224,1.0,0.9573304498264559,0.6619245613210049,0.00010884353741496599,1.0
fatty_acid.m04,phospholipid_sphingolipid.m00,fatty_acid,phospholipid_sphingolipid,False,0.7970347636110967,0.3984281302265852,0.5,0.7903720586865406,0.9443554547918875,1.0,0.7158904729172048,0.635186700382003,0.00010884353741496599,1.0
fatty_acid.m04,sterol_steroid.m00,fatty_acid,sterol_steroid,False,0.7319358910300797,0.3449096778374506,0.375,0.7276697879425916,0.9151876586411691,1.0,0.6804160367986976,0.5651246683516489,0.00017687074829931973,1.0
